Nº,Descripcion,CODIGO SKU,Marca,Producto,Rubro,Zona
203,Huferjo Curva Pvc 3/4,Lmc-CP3/4-Elect-Z1A,Lmc,CP3/4,Elect,Z1A
204,Sassin Peine Bipolar 63A,MH-PAB6312P-Elect-Z1A,MH,PAB6312P,Elect,Z1A
205,Veyka Tarugo y Tornillo 6mm,Aw-TARTOR6MM-Sant-Z2B,Aw,TARTOR6MM,Sant,Z2B
206,Argenplas Conductor Unipolar 1;5 MM Celeste,Aw-CU1.5-C-Sant-Z2B,Aw,CU1.5-C,Sant,Z2B
207,Argenplas Conductor Unipolar 1;5 MM Rojo,Amnco-CU1.5-R-Sant-Z2B,Amnco,CU1.5-R,Sant,Z2B
208,Tachos de Pintura Asfaltica 18 Lts,Aw-TACHPINTASFLTX18LT-Sant-Z2B,Aw,TACHPINTASFLTX18LT,Sant,Z2B
209,Amaco Tubo 25mm gris para Desague A.A 2m,AN-TUBDes25mm-Crrln-Z3G,AN,TUBDes25mm,Crrln,Z3G
210,Codo Aw 40 H-H 90,AN-CD40HH90-Elect-Z1A,AN,CD40HH90,Elect,Z1A
211,Codo Aw 40 M-H 90,AN-CD40MH90-Pnt-Z3G,AN,CD40MH90,Pnt,Z3G
212,Pileta de Patio Bajo Losa Aw,AN-PletaPatioBajoLosa--,AN,PletaPatioBajoLosa,,
213,Buje PP 2 X 11/2,ML-BJ2X11/2-Elect-Z1A,ML,BJ2X11/2,Elect,Z1A
214,SD Tubo PVC CL 10 40,AN-TUBPvc1040-Elect-Z1A,AN,TUBPvc1040,Elect,Z1A
215,SD Manguito R/M 40X11/2,AN-Mang40x11/2-Elect-Z1A,AN,Mang40x11/2,Elect,Z1A
216,SD Buje Corto HH 50X40,AN-BJCorto50x40-Sant-Z2B,AN,BJCorto50x40,Sant,Z2B
217,Adhesivo Losung 500 CM3 C/Pincel,AN-Adh500Cm3Cpincel-Sant-Z2B,AN,Adh500Cm3Cpincel,Sant,Z2B
218,Vulcano Toma de Fondo C/Tapa,AN-Tomac/Tapa-Pnt-Z3G,AN,Tomac/Tapa,Pnt,Z3G
219,SD Codo 45º 40MM Amanco,Miks-CD45º40MM-Pnt-Z3G,Miks,CD45º40MM,Pnt,Z3G
