Nº,Descripcion,CODIGO SKU,Marca,Producto,Rubro,Zona
24,Abb Termica Din 2x10,Ab2-T2X10-Elect-Z1A,Ab2,T2X10,Elect,Z1A
25,Abb Termica Din 2x16,Ab2-T2X16-Elect-Z1A,Ab2,T2X16,Elect,Z1A
26,Abb Termica Din 2x20,Ab2-T2X20-Elect-Z1A,Ab2,T2X20,Elect,Z1A
27,Abb Termica Din 4x40,Ab2-T2X40-Elect-Z1A,Ab2,T2X40,Elect,Z1A
28,Commax Portero con Apertura 1 telefono frente Embutir,Cmm-PAE1-Elect-Z1A,Cmm,PAE1,Elect,Z1A
29,Jeluz Platinum Modulo 2 tomas Normalizado +Tierra 2x10A-250VCA Bl,Jz-MTN2-Elect-Z1A,Jz,MTN2,Elect,Z1A
30,Jeluz Platinum Tapon Ciego Blanco,Jz-TCB-Elect-Z1A,Jz,TCB,Elect,Z1A
31,Jeluz Verona Bastidor Oculto Rectangular,Jz-VBOR-Elect-Z1A,Jz,VBOR,Elect,Z1A
32,Jeluz Platinum Tapa Rectangular Blanca,Jz-TRB-Elect-Z1A,Jz,TRB,Elect,Z1A
33,Jeluz Verona Estanco 2 Mod.Bast y Tapa Transp,Jz-EMBT-Elect-Z1A,Jz,EMBT,Elect,Z1A
34,Jeluz Platinum Modulo Punto Blanco 220V 10A,Jz-MPB10-Elect-Z1A,Jz,MPB10,Elect,Z1A
35,Jeluz Platinum Modulo Combinacion Blanco 220V 10A,Jz-MCB10-Elect-Z1A,Jz,MCB10,Elect,Z1A
36,Jeluz Platinum Modulo Toma 10A Blanco Combinado,Jz-MTC10-Elect-Z1A,Jz,MTC10,Elect,Z1A
37,Jeluz Toma de telefonos tipo Americano 4 vias,Jz-TT4V-Elect-Z1A,Jz,TT4V,Elect,Z1A
38,Jeluz Platinum Modulo Tv C/Acople pasante pin grueso Blanco,Jz-MTV-Elect-Z1A,Jz,MTV,Elect,Z1A
39,Jeluz Tapa 5x5 Mignon Blanco,Jz-T5X5MGB-Elect-Z1A,Jz,T5X5MGB,Elect,Z1A
40,"BmB Curva de Plastico para caño de 1""",Bmb-CP1-Elect-Z1A,Bmb,CP1,Elect,Z1A
41,Sica Disyuntor Diferencial 2x63 A,Sc-DD2X63-Elect-Z1A,Sc,DD2X63,Elect,Z1A
42,Sica Termica 2x10,Sc-T2X10-Elect-Z1A,Sc,T2X10,Elect,Z1A
43,Sica Termica 2x15,Sc-T2X15-Elect-Z1A,Sc,T2X15,Elect,Z1A
44,Sica Termica 2x20,Sc-T2X20-Elect-Z1A,Sc,T2X20,Elect,Z1A
45,Sica Termica 2x63,Sc-T2X63-Elect-Z1A,Sc,T2X63,Elect,Z1A
46,Sica Fusible NH 63 A,Sc-FNH63-Elect-Z1A,Sc,FNH63,Elect,Z1A
47,Genrod Caja de pase derivacion (unidades) 15x15,Gr-CP15X15-Elect-Z1A,Gr,CP15X15,Elect,Z1A
48,Genrod Caja de pase 20x20,Gr-CP20X20-Elect-Z1A,Gr,CP20X20,Elect,Z1A
49,Tacsa Precinto 4;6 MM x 100 U-Negro (bolsas de 100 U),Tcs-P4.6N-Frrt-Z1B,Tcs,P4.6N,Frrt,Z1B
50,9 de Julio Conectores de Hierro 3/4 (Bolsas de 100 unidades),9JL-CH3/4-Elect-Z1A,9JL,CH3/4,Elect,Z1A
51,Gen Rod Caja Termica 8 Bocas Embutir Plastica Ecoo,Gr-CT8B-Elect-Z1A,Gr,CT8B,Elect,Z1A
52,Gen Rod Caja Termica 24 Bocas Embutir Plastica Ecoo,Gr-CT24B-Elect-Z1A,Gr,CT24B,Elect,Z1A
53,Gen Rod Caja Termica 4 Bocas Embutir Plastica Ecoo,Gr-CT4B-Elect-Z1A,Gr,CT4B,Elect,Z1A
54,Gen Rod Jabalina con Toma Cable 1/2 x 1;5 Mts,Gr-JTC1/2-Elect-Z1A,Gr,JTC1/2,Elect,Z1A
55,Jeluz Platinum Modulo Toma Blanco 20A 250V,Jz-MTB20-Elect-Z1A,Jz,MTB20,Elect,Z1A
56,BmB Cupla de 3/4 (Bolsas de 100),Bmb-C3/4-Elect-Z1A,Bmb,C3/4,Elect,Z1A
57,BmB Cupla de 1 (Bolsa de 50),Bmb-C1-Elect-Z1A,Bmb,C1,Elect,Z1A
58,Tapa de Tablero,AN-TTB-Elect-Z1A,AN,TTB,Elect,Z1A
59,Latynplast Tubo exten Universal (unidad),LtPl-TEU-Sant-Z2B,LtPl,TEU,Sant,Z2B
60,Fv Epuyen Ferrum Juego Monocomando para Bañera y ducha 0106/L2,Fv-DCHA-Sant-Z2B,Fv,DCHA,Sant,Z2B
61,Clavos 1 1/2 (x bolsa de 1 Kg),AN-C1.2-Crrln-,AN,C1.2,Crrln,
62,Peirano Monocomando para pared de Cocina Bilbao 54-130,Pei-CnaBil-Sant-Z2B,Pei,CnaBil,Sant,Z2B
63,Peirano Lavatorio Baño Soria 63-125,Pei-LavSor-Sant-Z2B,Pei,LavSor,Sant,Z2B
64,Peirano Marbella Monocomando Cocina Cromo 20-121,Pei-CnaMarb-Sant-Z2B,Pei,CnaMarb,Sant,Z2B
65,Ferrum Bacha Tori Vasija Chica LK303 B,Frr-BchaTori-Sant-Z2B,Frr,BchaTori,Sant,Z2B
66,Robinet Bronx Bañera C/Transferencia Oxido,Rb-BañBronx-Sant-Z2B,Rb,BañBronx,Sant,Z2B
67,Robinet Bronx Lavatorio Pared Oxido,Rb-LavBronx-Sant-Z2B,Rb,LavBronx,Sant,Z2B
68,Peirano Soria Ducha Embutir C/Transf Monocomando 80-152,Pei-DchaSor-Sant-Z2B,Pei,DchaSor,Sant,Z2B
69,Peirano Black Velvet Ducha Embutir C/Transf C.Cer Negro 80-190 P,Pei-DchaBV-Sant-Z2B,Pei,DchaBV,Sant,Z2B
70,Johnson Acero Desagues de Bacha,Jhn-BchaDes-Sant-Z2B,Jhn,BchaDes,Sant,Z2B
71,Ideal Deposito de Empotrar con Descarga Dual para Ahorro de Agua,Ide-DED-Sant-Z2B,Ide,DED,Sant,Z2B
72,Roca Slendra Plus (Depositosx2),Rc-DED-Sant-Z2B,Rc,DED,Sant,Z2B
73,180 Manguera Led 220V x 5 Mts Luz Calida (63025/5/BC),180º-MANL-Elect-Z1A,180º,MANL,Elect,Z1A
74,Lumicom (5050) Cinta Led Interioir 14;4W Calida 5Mts,Lmc-MANL-Elect-Z1A,Lmc,MANL,Elect,Z1A
75,Denka Cinta Aisladora PVC Vini Tape 10 Mts,Dk-CINA-Elect-Z1A,Dk,CINA,Elect,Z1A
76,9 de Julio (10004) Caja H Liviana Cuadrada 10x10 Aluminizada Ch20,9JL-CHC10-Elect-Z1A,9JL,CHC10,Elect,Z1A
77,9 de Julio (100021) Caja H Liviana Mignon 5x5 Aluminizada Ch20,9JL-CHM5-Elect-Z1A,9JL,CHM5,Elect,Z1A
78,Peirano Respuesto Set Prolongador Vastago/Campana A1189,Pei-RepSp-Sant-Z2B,Pei,RepSp,Sant,Z2B
79,Prolongador Vastago (los que traen las griferias) (xjuego),AN-PV-Sant-Z2B,AN,PV,Sant,Z2B
80,Matafuego 5 Kg,AN-MF5--,AN,MF5,,
81,9 de Julio Caja H Liviana Octogonal chica Aluminizada Ch 20,9JL-CHO-Elect-Z1A,9JL,CHO,Elect,Z1A
82,9 de Julio Caja H Liviana Rectangular chica Aluminizada Ch 20,9JL-CHR-Elect-Z1A,9JL,CHR,Elect,Z1A
83,GenRod Caja p/Monoblock con base NH S/Fusible (085203),Gr-CMPNH-Elect-Z1A,Gr,CMPNH,Elect,Z1A
84,Bachas Testa 45x32x11 Natural,AN-BchaTNat-Sant-Z2B,AN,BchaTNat,Sant,Z2B
85,Bachas Testa 45x32x11 Oliva,AN-BchaTOli-Sant-Z2B,AN,BchaTOli,Sant,Z2B
86,Compañía Nativa Fiso de Madera,Cnat-FM--,Cnat,FM,,
87,Tbcin Peines de Alimentacion Bipolar 63A,Tbc-PAB63-Elect-Z1A,Tbc,PAB63,Elect,Z1A
88,LatynFlex Flexible Mallado de Acero Inoxidable macho Giratorio 1/2x35 (xunidad),Lflx-FMASG-Sant-Z2B,Lflx,FMASG,Sant,Z2B
89,MayorLed Fuente Metalica Linea Slim para perfil de Aluminio y tira Led,ML-FMET-Elect-Z1A,ML,FMET,Elect,Z1A
90,Sika Monotop-107 Seal Impermeabilizante cementicio de Alta Performance (xkg),Sk-IMPCE-Crrln-Z3G,Sk,IMPCE,Crrln,Z3G
91,Netcolor Masilla para placas de Yeso Interioir (xKg),Nc-MPYI-Pnt-Z3G,Nc,MPYI,Pnt,Z3G
92,Casablanca Interioir Mate Balsamo(x lts) Bse B (Abierto),CB-BLS-Pnt-Z3G,CB,BLS,Pnt,Z3G
93,Casablanca Interioir Mate Copa Real (x lts) Bse B (Abierto),CB-PINT-Pnt-Z3G,CB,PINT,Pnt,Z3G
